instruction,reference
Paraphrase this question: How can I lose 10 Kilos?,How should I lose weight?
Paraphrase this question: How do you post a question on Quora?,How do I post here?
Paraphrase this question: Why should we learn photography?,What is there to learn in photography?
Paraphrase this question: Which are the best books to learn C++?,What is the best book for DEV C++?
Paraphrase this question: How can I earn extra money during my free time?,How do I earn money in my free time?
Paraphrase this question: I am in the second year of my CSE and I want to crack GATE 2017. How do I start my preparation? What topics should I be more concentrated on?,I am completing my 2nd year of computer engineering. I want to start my preparation for GATE 2017 (stream CS/IT). How do I start it now myself?
Paraphrase this question: Where Can My Business Capital injection Come From?,Where Can My Small Business Capital Injection Come From?
Paraphrase this question: What is Newton's third law of motion? Can you explain what is an action and a reaction with examples?,Can someone explain Newton's third law of motion?
Paraphrase this question: What are micronutrients and macronutrients? How do you distinguish the difference between micronutrients and macronutrients?,How do you distinguish the difference between micronutrients and macronutrients?
Paraphrase this question: What are the best online coding bootcamps?,What is best online coding bootcamp 2016?
Paraphrase this question: To all the busy and successful people: What does your daily schedule look like?,What does the daily schedule of those successful people look like?
Paraphrase this question: What does Americans think of Vietnamese people?,How do Americans view Vietnamese people?
Paraphrase this question: How will Trump's presidency affect the Indian students who are planning to study in the US?,How bad can Trump's election as president be for students aspiring to study in US?
Paraphrase this question: What Indian government will do to old 500/1000 rs notes once they will collect it from people?,What will the government do with the old notes of Rs 500 and Rs 1000?
Paraphrase this question: Where or what is the strangest place you have ever had sex?,Where is the oddest place you've had sex?
Paraphrase this question: What is a credit score?,What is credit score?
Paraphrase this question: Which is the best hollywood movie you have seen?,Which are the best Hollywood movies of all time?
Paraphrase this question: What is black money and how can it effect the economy of a country?,What is the effect of black money on India's macro economy?
Paraphrase this question: What is the difference between fact and opinion?,What is difference between fact and opinion/view?
Paraphrase this question: What will the people who have Black Money in Swiss Bank do after the demonetisation of ₹1000 & ₹500 note?,Will the corrupt politicians still have their black money safe in Swiss Bank even after the scrapping of old Rs 500 and Rs 1000 note?
Paraphrase this question: Do we need smaller states?,Can India develop faster if bigger states are divided into smaller states?
Paraphrase this question: What are the best places in delhi to chill with your best friend?,What are the best places to hangout with friends in delhi?
Paraphrase this question: How is technology helping us?,How can technology help us?
Paraphrase this question: What are ways of earning money online?,How could I make money online?
Paraphrase this question: What is the role of a brand manager?,What is the typical role of a brand manager?
"Paraphrase this question: If more vacuum energy appears with expansion and it has no limit, can infinite of this energy be created? If yes is energy infinite?","Is vacuum energy the same as dark energy? is it infinite? if it is, how and why?"
Paraphrase this question: What's the best smartphone in the market right now?,Which is the best smartphone right now and why?
Paraphrase this question: How is depression cured without a therapist?,Has anyone overcome depression by themselves without external help?
Paraphrase this question: At what time should I drink green tea to be fit?,Does green chai tea assist with weight loss?
Paraphrase this question: How is US president Donald Trump important for India?,What Can happen to India if Donald Trump becomes president?
Paraphrase this question: What does it take to be a top writer on Quora?,"How can I become Top Writer on Quora, what should I care most in this process?"
Paraphrase this question: Could I buy a civilianized version of a fighter jet?,Can I buy a fighter jet?
Paraphrase this question: How can I access hackforums.net?,How do I access hackforums.net?
"Paraphrase this question: How to convert red, yellow, and white RCA cables to HDMI?",How do you convert RCA to HDMI?
Paraphrase this question: How can we earn money from Google?,How can I earn money from google?
Paraphrase this question: Which is the best online shopping websites?,Which is the best online shopping?
Paraphrase this question: Do astronomers' know where the center of the universe is?,"Is there a center in the universe? If so, do we know where is it?"
Paraphrase this question: Why should I study physics?,Why do people study physics?
Paraphrase this question: Why does the inequality sign change when both sides are multiplied or divided by a negative number? Does this happen with equations? Why or why not?,Does the sign of an inequality change when multiplied by a variable? Why or why not?
Paraphrase this question: How can I modify apk files?,What is the best way to edit APK files?
Paraphrase this question: Which exercise type help you to increase your height?,How do I increase my height?
Paraphrase this question: What is the average IQ of a human?,What is the iq of the average person?
"Paraphrase this question: ""What are the """"must have"""" dishes in your city?""",Could you recommend some special dishes of your city?
Paraphrase this question: What is the purpose of US military assistance to Egypt?,What are the purpose and the justification of US military help to Egypt?
Paraphrase this question: Are the notes of Rs. 2000 really embedded with a GPS chip?,How does the embedded NGC technology of the Rs. 2000 note works?
Paraphrase this question: Has Ancient History been scientifically tested? Is it all real? Did it happen differently than we were told it did? Did it even happen at all?,Has Ancient Egypt been scientifically tested?
Paraphrase this question: Why did Trump win the Presidency?,How did Donald Trump win despite projections that he would fail?
Paraphrase this question: Why wasn't Leonardo DiCaprio not nominated for Titanic?,Why wasn't Leonardo DiCaprio Oscar-nominated for Titanic (movie)?
Paraphrase this question: Can we expect time travel to become a reality?,How is time travel possible?
"Paraphrase this question: How do mountain ranges form, and what are some of the major mountain ranges in Oklahoma?",How do mountain ranges in Oklahoma differ from mountain ranges in Idaho?
Paraphrase this question: Is there a directory of landline individual phone numbers?,Is there a directory of individual landline and cell phone telephone numbers?
Paraphrase this question: Which operating system do Google engineers use?,What operating system do programmers and developers at Google use?
Paraphrase this question: What is 0 divided by infinity?,What is 0 DIVIDED by 0?
Paraphrase this question: Is there proof that alien life exists?,Is there any evidence of alien life in space?
Paraphrase this question: What is the exam pattern for CAT 2016?,What is the pattern for CAT 2016?
Paraphrase this question: Modi's announcement on banning 500 and 1000 currency notes. How would it affect economy?,What are the economic implications of banning 500 and 1000 rupee notes?
Paraphrase this question: What is the best way to learn and practice C programming?,How should I start to learn c language?
Paraphrase this question: Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?"
"Paraphrase this question: How was NEET phase 2, compared to phase 1?",Was NEET 2 tougher than NEET 1?
Paraphrase this question: Why are Muslims prohibited to eat pork?,Do Muslims eat pork?
Paraphrase this question: What can I do after having diploma in mechanical engineering?,What after mechanical engineering?
Paraphrase this question: Who is the best Indian fielder ever?,Who is the all time best fielder in Indian Cricket team?
Paraphrase this question: How do I hire a legit hacker?,How do l contact a hacker?
Paraphrase this question: What do you do to make your baby laugh?,What is a sure way to make your baby laugh?
"Paraphrase this question: ""How is the movie """"The Man who knew infinity""""?""","""What do you think about the movie, """"The man who knew infinity""""?"""
Paraphrase this question: What are some excellent signals and system books suggestions?,What are the best Books for Signals And Systems?
Paraphrase this question: Is trump playing to lose?,Is trump trying to lose?
Paraphrase this question: Who will be the USA next President?,Do you think Trump will be the next president?
Paraphrase this question: What are some good methods to studying?,How can I improve my studying?
Paraphrase this question: How is Donald Trump in person?,What is it like to meet Donald Trump?
Paraphrase this question: What is culture integration? What are some examples?,What are some examples of cultural integration?
Paraphrase this question: What are some characteristics of eccentric and concentric contractions?,What are some symptoms of eccentric and concentric contractions?
Paraphrase this question: How would one train in mountaineering and become a mountain guide?,How can I become a mountain guide?
"Paraphrase this question: If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?","If vacuum energy is created as space expands, can infinite energy be created?"
"Paraphrase this question: Which one is the best, Linux Mint or Ubuntu?",Is Linux Mint a good alternative to Ubuntu? Are there any differences between the two?
Paraphrase this question: How can I overcome fear in public speaking?,How can I get over the fear of public speaking?
Paraphrase this question: What is the scope for MBA marketing graduates in sales & marketing in hospitality industry?,What is the scope for MBA marketing graduates in hospitality sector sales & marketing?
Paraphrase this question: What is the best programs for mechanical engineerings?,What is the best additional course for mechanical engineers?
Paraphrase this question: Do you believe in fate or free will?,Do you believe in free will or destiny? Why?
Paraphrase this question: What are the things I need to learn hacking?,What are the requirements to learn hacking?
Paraphrase this question: What are the best weight transformation stories?,What is the best weight loss story?
Paraphrase this question: How do I stop being addicted to porn?,How can I stop watching porn?
Paraphrase this question: Why did India opt for Rafale aircrafts over other fighter jets?,What is so special about 'Rafale' fighter jets? Why is India keen on acquiring them?
Paraphrase this question: What if South Indians form their own separate country?,What do South Indians feel about the idea of a separate South India?
Paraphrase this question: Can we time travel anyhow?,How is time travel possible?
Paraphrase this question: I have a drug test tomorrow and I smoked marijuana 2 weeks ago. How can I increase my chances of passing?,"If I smoked 2 weeks ago, how do I pass a drug test?"
Paraphrase this question: Can you actually spy on someone else's WhatsApp account?,How can I hack someone else's WhatsApp account from a different place?
Paraphrase this question: Why do the minions in Despicable Me love bananas?,Why are the Minions crazy for bananas?
Paraphrase this question: What are some lesser known TV shows/sitcoms which are really good?,"What is your favorite, lesser known TV show?"
Paraphrase this question: How do I get to know my crush better?,How do I get to know my crush?
Paraphrase this question: What are the medical tests I have to undergo before my marriage?,What medical tests a couple should undergo before getting married?
Paraphrase this question: What is the most overrated movie of 2016?,Which are the most overrated movies in 2016?
Paraphrase this question: How are people earning billions from home by simple Uber app hack?,How are my friends earning millions from home just by using Uber app?
Paraphrase this question: How much it cost for a hair transplant in India?,How much does it cost to get hair transplant in India?
Paraphrase this question: How can I avoid human verification in 8 ball pool hack? Is it possible?,How can we avoid human verification in 8 ball pool hack?
"Paraphrase this question: When something is conjured in the Harry Potter universe, is that item simply transported, or actually conjured?","When someone vanishes something in the Potter universe, where does it go?"
Paraphrase this question: How can I become a journalist?,What is the best way to become a journalist?
Paraphrase this question: Which is the best engineering field that I can choose?,What is the best engineering field in the world?
Paraphrase this question: Is Donald Trump going to go to jail for flying his jet illegally?,Why is Donald Trump not in jail for his comments?
Paraphrase this question: What are ways to increase organic traffic on Facebook Page?,What are the ways to increase organic traffic on Facebook page and on website?
Paraphrase this question: Can I hack WhatsApp of someone?,Can I hack WhatsApp?
Paraphrase this question: How do I change the date of birth on my birth certificate?,Can I change my DOB in birth certificate?
Paraphrase this question: What are some examples of traditional economies?,What is a traditional economy? What are some examples?
Paraphrase this question: What is the Delta Force used for?,What is the Delta Force main focus?
Paraphrase this question: How can I learn programming from scratch?,I want to learn Coding/Programming from scratch. How to start?
Paraphrase this question: How can changing 500 and 1000 rupee notes end the black money in India?,How exactly does banning Rs 500 and Rs 1000 notes curb the problem of black money?
Paraphrase this question: What is the best fat burning pills?,Are fat burning pills helpful along with exercise? What are the best fat burning pills (non-steroidal)?
Paraphrase this question: How can I make an extra $1000 a month?,What can I do to make an extra $1000?
Paraphrase this question: Which is the best mutual funds to invest in India?,What is the best mutual fund to invest for a long term in India?
Paraphrase this question: What are some ways to lose 40 pounds in two weeks?,What can you do to lose 40 pounds in 2 weeks?
Paraphrase this question: How do I become an introvert?,How do I convert to an introvert?
Paraphrase this question: What reasons would there be for Christopher Columbus be considered a villain?,Why was Christopher Columbus considered a villain?
Paraphrase this question: What's the best way to travel the world?,How can I travel around the world?
Paraphrase this question: Can I.Q. be improved?,Can I.Q. be enhanced?
Paraphrase this question: What is it like to go to prison?,What does it feel like to go to prison?
Paraphrase this question: What is Pakistan's equivalent university to IITs? And where do those stand compared to IITs?,Which is the best University in Pakistan? Where do they stand compared to IITs?
Paraphrase this question: Why Supreme Court directed all cinema halls across the country to play the National Anthem before the start of a film?,What's your stand on the recent Supreme Court's order about national anthem in cinema halls?
Paraphrase this question: How can you improve your communication skill?,How do I improve my communication skills.?
Paraphrase this question: Are GMO foods safe?,Are GMO foods actually bad for you?
Paraphrase this question: What are some mind-blowing outdoor gadgets tools that most people don't know about?,What are some mind-blowing outdoor adventure tools that most people don't know about?
Paraphrase this question: Which are the best automation testing tools?,What are the best test automation tools?
"Paraphrase this question: What would your advice be to your 25 year old self, knowing what you know now?",What lesson(s) would you share with your 25 year old self if you could travel back in time?
Paraphrase this question: What's the relationship between body's pH value and cancer?,What is the relationship of a human body's Ph Power Hardness and getting Cancer?
Paraphrase this question: How do I setup a minecraft server?,How do I make a multiplayer Minecraft server?
Paraphrase this question: How shall I become a software developer in India?,How do I become software developer in india?
Paraphrase this question: Who are some celebrities that have a Quora account?,Which celebrities are there on Quora?
Paraphrase this question: Does Congress party digging their grave slowly as they are opposing everything done by PM Modi like saying Jay Shriram or dping surgical strikes?,Does Congress party digging their own grave slowly as they opposing everything done by PM Modi like saying Jay Shriram or doing surgical strikes?
Paraphrase this question: Which is the best car in world?,What are the best cars in the world?
"Paraphrase this question: What is an interesting fact that you know and I don't, but shouldn't?",What is the most interesting fact that most people don't know about?
Paraphrase this question: What is your favorite Star Wars film?,"My favorite movie from Star Wars was Rogue One, what was yours?"
Paraphrase this question: How can I run a 3 phase motor in a two way supply?,How can I used 3 phase motor in a 2 way supply?
Paraphrase this question: How can I become a good web designer?,What are the best ways to be a better web designer?
Paraphrase this question: In what year will we see successful in-space refueling or repair of a large satellite by a small satellite?,In what year will we see successful in-space refueling or repair of a small satellite?
Paraphrase this question: What is the best teacher student story you know?,What is the best teacher and student relationship story you know?
Paraphrase this question: How do Indian military and Paramilitary forces keep killing peaceful civilians protestors in Jammu Kashmir?,Why is Indian Army killing innocent civilians in Kashmir?
Paraphrase this question: What is a money tree at a party?,What is a money tree?
Paraphrase this question: Will I get a dental Seat with the score of 400 in neet 2?,Can I get a dental seat if I got 405 for NEET 2016?
Paraphrase this question: What is the fastest tank in the world?,What's the fastest tank ever to be made?
Paraphrase this question: What are the chances that the electoral college will decide to vote against Trump if Hillary wins the popular vote?,"What is the likelihood that on December 19th, the Electoral College can vote out Donald Trump and vote in Hillary Clinton?"
Paraphrase this question: How good is the MacBook Pro for gaming?,Is MacBook Pro 8 GB 2015 good for gaming?
Paraphrase this question: Why is India failing so miserably in the 2016 Rio Olympics?,What are the reason of poor performance of India in Rio 2016 while expectations were too high?
Paraphrase this question: How do you think demonetisation will affect Indian economy?,How will demonetization affect India & Indian economy?
Paraphrase this question: How do I deal with self incompetence?,How can you deal with self-incompetence?
Paraphrase this question: How do I transfer WhatsApp messages from Android to iOS?,How do I transfer WhatsApp chat messages from my Android phone to an iPhone?
Paraphrase this question: Is World War 3 coming?,"How close are we to World War Three, and how bad would it be?"
Paraphrase this question: Is there a way to get a domain for free?,How can I get a domain for free?
Paraphrase this question: What is the best experience you had with your besties?,What is the best experience you ever had with your friends?
Paraphrase this question: How do I recover deleted browser history?,How can I recover my deleted Internet history?
Paraphrase this question: Who can win the US presidential elections?,Who do you think wins this US presidential election?
Paraphrase this question: I have scored 650 marks in MAT exam what will be my percentile?,If I got 650 marks in MAT exam what will be my percentile?
Paraphrase this question: How can I make rs 10000 per month with 1 lakh rupees in India?,Is it easy to earn 10000 per month with 1lakh rupees?
Paraphrase this question: What are the good books for kids?,What is the best book for kids?
Paraphrase this question: What makes you a human?,What makes you truly human?
Paraphrase this question: What is the best software company in Chennai?,What are the good software companies in Chennai?
Paraphrase this question: What are some good songs to make a texting lyric prank?,What are some good lyric prank songs to send your best friends?
Paraphrase this question: Do you think it's right to bring up your child into this messed up world?,Am I justified in being afraid to bring a child into the world?
Paraphrase this question: How can I escape boredom?,What are the best ways to overcome boredom?
Paraphrase this question: Which is the best way to prepare for SSC CGL at home or by ourselves without coaching?,How do I crack the SSC CGL exam without coaching?
Paraphrase this question: How do I speed up my laptop?,How do I speed up my computer?
Paraphrase this question: What is the worst thing you've ever done to another human being?,What's the worst thing you've ever done to another human being?
"Paraphrase this question: What are the best places to visit in Wayanad, Kerala?",What are the best places to visit on a 3-day trip in and around Kerala?
Paraphrase this question: How do I see who viewed my instagram videos?,How can I see who viewed my instagram?
Paraphrase this question: How did you expand your vocabulary?,How can I increase my vocabulary?
Paraphrase this question: What is the future of mobile apps? Is the Market saturated?,What are the future of mobile applications?
Paraphrase this question: How do I lose 25 kg by exercise?,How do i lose weight?
"Paraphrase this question: ""Why do people say """"God bless you""""?""","""Why do they say """"God bless you"""" when you sneeze?"""
Paraphrase this question: What is the technology of double camera in iPhone 7?,"How does the double camera on the iPhone 7+ work, including improving things like depth of field?"
Paraphrase this question: I always feel sleepy in my lectures. What can I do?,I always feel sleepy and lost in my own world.What should I do to avoid this and concentrate during my lectures?
Paraphrase this question: I have a incurable disease. My wife left me because she can have more fun without me. She hung in for a while. Why?,I have an incurable disease. My wife left me because she can have more fun without me. She hung in for a while. Why?
Paraphrase this question: What are the boundaries of the FBI’s geographic jurisdiction?,What are the boundaries of the FBI’s geography jurisdiction?
Paraphrase this question: How can I prepare myself to world' s top university?,How can I get into a top university?
Paraphrase this question: Is it worth buying Kindle in India and what books can one read using Amazon Kindle?,Is a Amazon Kindle really worth the money or Can I just use my Nexus tablet with Amazon kindle app to read the books?
Paraphrase this question: How can I learn English in a short time?,How can I learn english quickly and well?
Paraphrase this question: Why does Quora show the questions that I have already upvoted in my feed?,Why does my Quora home feed sometimes show me answers I already upvoted a while ago?
Paraphrase this question: Can white hair turn into black hair?,Can white hair turn into black?
Paraphrase this question: How can I get rid of bad habits?,How do I get rid of bad habits?
Paraphrase this question: What are some nice places to hangout in Pune?,Which is the best place to hangout with friends in pune?
Paraphrase this question: Gyms and Workout Facilities: Are taking protein powder supplements good for health?,Is taking protein during a workout good for health?
Paraphrase this question: How do you make money with Quora?,How can you earn a living on Quora?
Paraphrase this question: Is Hillary Clinton going to go to jail?,Why could Hillary Clinton go to jail?
Paraphrase this question: Will Rs. 2000 currency note really come with A GPS chip? Or it is just a rumor?,Is is true or just a rumor that RBI Rs 2000 note will carry a GPS tacking device?
Paraphrase this question: How does a long distance relationship work?,Do long distance relationships work?
Paraphrase this question: What are the pros and cons of banning currency notes of 500 and 1000 in India?,What is the main reason for discontinuing 500 and 1000 Rupees Note in India? What are the pros and cons of it?
Paraphrase this question: How to run WhatsApp on PC without BlueStacks,What are the ways to use Whatsapp on pc other than bluestacks?
Paraphrase this question: Who is the best-looking woman from your country?,Who is the most beautiful woman of your country?
Paraphrase this question: Why is Saltwater Taffy candy imported in Mexico?,Why is saltwater Taffy candy imported in Canada?
Paraphrase this question: Which university is best in Germany for doing MS in Computer Science?,What are some good universities in Germany for masters in computer science?
Paraphrase this question: What is the best age for having first sex?,What is a good age to have sex?
Paraphrase this question: Which part of the human body would you redesign?,What parts of the human body are poorly designed?
Paraphrase this question: How do I lose weight fast?,What are the best ways to lose a lot of weight as quickly as possible?
Paraphrase this question: What is the best site to download films?,Which are best sites to download movies?
Paraphrase this question: How do I get FM radio on my iPhone?,How can I receive FM radio broadcasts on my iPhone 6s Plus?
Paraphrase this question: What is acupuncture and how does it work?,What is acupuncture? How does it work?
Paraphrase this question: Is Donald Trump going to be the next US President?,What are the chances that Donald Trump will be the next US president?
Paraphrase this question: How do satellite communications work?,How do satellites work?
Paraphrase this question: Does petroleum jelly help eyelashes grow?,Does petroleum jelly (Vaseline) help eyelashes grow?
Paraphrase this question: How can you improve your communication skills?,What should I do improve my communication skill?
Paraphrase this question: How do I reset my gmail password when they are not highlighting my recovery email option?,How do I reset my Gmail password when I forgotten it?
Paraphrase this question: Who joined the Korean war?,Why did all the countries join the Korean war?
Paraphrase this question: What are some of the best novels that should be read by everyone?,What are some of the best novels you have read?
Paraphrase this question: How was education during the Japanese occupation in Singapore like?,How was education in Singapore during the Japanese occupation?
Paraphrase this question: What is the diet of the weasel?,What are the eating habits of a weasel?
Paraphrase this question: What can you say about Filipino people?,What is your honest opinion about the Philippines and Filipino people?
Paraphrase this question: Why are mobile phones getting uselessly fast? When the real thing is how long its battery can last.?,Why are mobile phones getting uselessly fast? When the real thing is how long its battery can last?
Paraphrase this question: What might be the business plan in launching reliance jio?,What is the revenue model of Reliance Jio?
Paraphrase this question: How can I tell when someone unfollows me on Instagram?,How can I know who unfollowed me on Instagram?
"Paraphrase this question: What will happen to the superpower status of the USA, if Donald Trump wins the 2016 Presidential elections?",What's going to happen to America if Donald Trump wins?
Paraphrase this question: Is Hormone Replacement Therapy safe?,How long is it safe to be on hormone replacement therapy?
Paraphrase this question: How do I make money off amazon bussiness?,How do I start making money off of amazon?
Paraphrase this question: What are some best quotes you have heard?,What is the best quote you have heard?
Paraphrase this question: How can we improve India's current education system?,How can India's education system be fixed?
Paraphrase this question: How could I improve my English?,How can I improve my communication skills in English?
Paraphrase this question: What should I do to last longer in bed?,How do I last longer in sex?
Paraphrase this question: Which is the best wearable technology so far?,What are the best Wearable technology?
Paraphrase this question: Do Muslims think non-Muslims are going to hell?,"Islam: According to islam, are all non-Muslims going to hell?"
Paraphrase this question: What is better according to you- Coca Cola or Pepsi ? why?,"Do you prefer Coca Cola or Pepsi Cola, and why?"
Paraphrase this question: What are your views about governments decision to stop flow of 1000 and 500 rupee notes.?,What do you think about decision by the Indian Government to demonetise 500 and 1000 rupees note?
"Paraphrase this question: Could England leave the United Kingdom? And if so, what would happen to Wales, Northern Ireland and Scotland?",What would happen if England left the United Kingdom?
Paraphrase this question: What is it like to work at Factual?,What is it like to work at Factual in 2016?
Paraphrase this question: Why do people insist on driving slowly in the left (passing) lane?,Why do some people drive slowly (10+ MPH under the speed limit) in the passing lane?
Paraphrase this question: Why isn't the unexamined life worth living?,"""What is the meaning of Socrates's statement that """"the unexamined life is not worth living""""?"""
Paraphrase this question: Why do people use Quora instead of Google to find answers to questions?,Why use Quora when Google answers almost everything?
Paraphrase this question: What are we doing here on Earth?,Why are we here on earth? What's the purpose?
Paraphrase this question: How can I learn communication skills?,How can you improve your communication skills?
Paraphrase this question: How do I recover data from an external hard disk?,How can I recover data from an external hard disk?
Paraphrase this question: Which countries have nuclear weapons?,How many countries have nuclear weapons?
"Paraphrase this question: What is the perfect website that lists all forms of word noun, verb and adverb?","What is the perfect website that lists all types of word noun, verb and adverb?"
Paraphrase this question: Why most of the people in India don't pay income tax?,How many people pay income tax in India?
Paraphrase this question: Why should women support Donald Trump?,Why are there still some women who are voting for Donald Trump?
Paraphrase this question: What's the best entry book for topology?,What is a good beginners book on topology?
Paraphrase this question: Can I install Mac OS on my Dell laptop? How?,How do I install Mac OS on a Dell laptop?
Paraphrase this question: Does the Indian education system need a reformation?,Should the Indian education system be changed?
Paraphrase this question: What has life taught you?,What has life taught you recently?
Paraphrase this question: Will GST change Indian economy?,"How can the GST bill, passed by the Rajyasabha yesterday, boost the Indian economy?"
Paraphrase this question: What's your favorite song right now?,What's your current favorite song?
Paraphrase this question: How do I get the best deals for a cruise?,How can I get the absolute best deal on a cruise?
Paraphrase this question: What is the best strategy to crack JEE Advance in first attempt?,What is the best strategy to crack the main and advanced JEE?
"Paraphrase this question: What were the major effects of the cambodia earthquake, and how do these effects compare to the Andreanof Islands earthquake in 1957?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Cascadia earthquake in 1700?"
Paraphrase this question: What was there before the Universe?,What was there before universe was born?
Paraphrase this question: How can I boost my intelligence to think on my feet?,How can I learn to think faster on my feet?
Paraphrase this question: Why do people often ask questions in Quora while they can Google it themselves?,Why do some people ask simple direct science questions in Quora when there are sufficient resources available in internet?
Paraphrase this question: What is the best place to stay in Mumbai?,Where is best place to live in Mumbai?
Paraphrase this question: Which kind of phone was your first cell phone?,What was your first mobile phone?
Paraphrase this question: How can I improve my english language skills? I am basically from gujarati background.,How can I improve my English Language?
Paraphrase this question: In what way do you think the reservation system can be diminished in India?,How can this reservation system can be overthrown from India?
Paraphrase this question: What should the inside of an eggplant look like?,What should an eggplant look like on the inside?
Paraphrase this question: Is it possible to remove everything mentioning Hillary Clinton or Donald Trump from my Quora feed?,"How do I filter out questions/answers about Bernie Sanders, Donald Trump, and Hillary Clinton from my feed?"
Paraphrase this question: Were there any humans before Adam and Eve?,Could there have been any humans before Adam?
Paraphrase this question: Fix@~ 1.8009315079 AVG Antivirus technical support phone number?,Hi Avg @@@1800_@_251_@_4919@@@ Avg Antivirus Tech Support phone Number?
Paraphrase this question: Is it better to have loved and lost than to have never loved at all?,Do you really think it's better to have loved and lost than to never have loved at all?
Paraphrase this question: Which is the best course for digital marketing?,What are the best digital marketing courses for mid-senior level marketing managers?
Paraphrase this question: How do I approach a beautiful stranger girl?,How do I approach a stranger beautiful girl?
Paraphrase this question: What is the actual height of bollywood stars?,What is actual height of bollywood stars?
Paraphrase this question: What are the benefits of getting married?,What are the benefits of getting married in this life time?
Paraphrase this question: How do I reset my gmail password when they are not highlighting my recovery email option?,I lost my password with my Gmail account. How do I reset it without the account recovery info?
Paraphrase this question: How do I really make money online?,What is an easy way make money online?
